iso_code,country,avg_co2_per_capita,mean_gdp_growth,gdp_growth_volatility,avg_gdp_per_capita,baseline_gdp_pc
LKA,Sri Lanka,0.7157242160869565,0.02872609754028903,0.040862389281970696,8886.703930434782,5841.094
LSO,Lesotho,1.0633314934782607,0.007890758656208712,0.03235572057649561,2302.6983652173913,1967.4332
LTU,Lithuania,4.377729013043479,0.05019247209230344,0.052232838487774,21091.616260869567,10806.874
LUX,Luxembourg,19.449515565217393,0.005003051636734787,0.02579657680837432,53942.563521739125,50063.824
LVA,Latvia,3.635127530434783,0.042325638956530104,0.057424794540269795,19899.687347826086,11309.74
MAR,Morocco,1.5989963608695654,0.026668807745772242,0.030579099077704387,6942.716739130434,4753.638
MDA,Moldova,1.3723241521739131,0.03887058665638668,0.059217735498919934,5090.496104347826,2989.535
MDG,Madagascar,0.11016016995652174,0.005681457445088952,0.04880750592327858,1331.5370956521738,1238.7764
MEX,Mexico,4.014518413043478,0.012048631005961515,0.03215830718906692,14928.82052173913,12613.396
MKD,North Macedonia,3.9029241782608692,0.025801416444999056,0.027329046983539853,11023.473834782608,8083.7896
MLI,Mali,0.170664387,0.01702384925377052,0.034684755455538445,1490.9971260869568,1153.0461
MLT,Malta,5.3033317,0.024922150025626255,0.04169801950922735,25874.92234782609,20434.549
MMR,Myanmar,0.3496619791304348,0.04996685685949265,0.06119271205046944,4049.9879086956525,1843.4945
MNE,Montenegro,3.3992748347826085,0.060189330142926295,0.06611107157404164,14053.239317391306,6046.142
MNG,Mongolia,7.801145913043478,0.07336458902340949,0.06280149699635143,8866.397304347827,2936.0627
MOZ,Mozambique,0.16400492826086957,-0.003905215873470813,0.02880197078754942,1081.7629973913045,1196.0149
MRT,Mauritania,0.6770885326086957,0.0305209613544691,0.04411241044061713,2968.4052130434784,1934.7421
MUS,Mauritius,2.9650682782608695,0.017797518996709002,0.041566239473335403,17153.318739130435,14272.301
MWI,Malawi,0.07277177421739131,0.009814750725990978,0.026569048888347033,1062.3275417391303,967.0872
MYS,Malaysia,7.063787113043478,0.03189284770093093,0.030487650902083857,19661.097347826086,13474.701
NAM,Namibia,1.2799711695652174,0.014024111365799482,0.039958706009570265,7747.0988391304345,5971.815
NER,Niger,0.08229669278260869,0.017593123453777317,0.030989114020170037,836.6426582608696,693.3765
NGA,Nigeria,0.6324173726086957,0.0410186086358484,0.049805201641114294,4349.942269565217,2144.8254
NIC,Nicaragua,0.7957535439130435,0.027169694948527768,0.034718021345724416,4101.974008695652,2858.5269
NLD,Netherlands,9.827831691304349,0.012605838328217489,0.022234942547051814,43726.13326086956,37899.95
NOR,Norway,8.867877547826087,0.022816331513084768,0.021313262309975895,75920.80904347826,54039.96
NPL,Nepal,0.2550550751304348,0.027311624161130907,0.02549390510052416,2252.1275043478263,1676.7456
NZL,New Zealand,7.981343243478261,0.01639574884413889,0.016825316693655112,32578.452608695654,26823.018
OMN,Oman,15.418428369565218,0.032672186319988035,0.04740065949446125,41119.998173913045,24186.365
PAK,Pakistan,0.7748862352173913,0.026020964165612444,0.018692396844612023,4431.853943478261,3154.5115
PAN,Panama,2.276410543478261,0.04222233825002671,0.06341152764849585,16516.551347826087,9898.788
PER,Peru,1.3959382347826088,0.035667171774760094,0.04686735193471972,9683.922547826087,6038.2446
